firstname,surname,age,gender,pay grade,job title,academic,full time,ethnicity,disability,sexual orientation
Rolando,Jones,24,Man,8,Clerk,True,True,Black,Long-standing illness or health condition,Hetrosexual
Justin,Frey,21,Man,12,Clerk,False,True,Mixed,Physical impairment or mobility issues,Hetrosexual
Wendy,Maleh,30,Other,12,Doctor,True,False,Asian,Mental Health Condition,Gay
Valerie,Day,21,Other,4,Teacher,True,False,White,Mental Health Condition,Other
Betsy,Watson,31,Woman,4,Nurse,False,False,White,Specific Learning Difficulty,Hetrosexual
Pam,Mcneill,43,Woman,11,Clerk,True,True,Black,Long-standing illness or health condition,Gay
Sandra,Braxton,69,Woman,12,Salesperson,True,False,Mixed,Specific Learning Difficulty,Hetrosexual
Kirsten,Mccoy,35,Other,5,Artist,False,True,Asian,Mental Health Condition,Gay
Patricia,Springle,30,Woman,10,Teacher,True,False,Other,Mental Health Condition,Gay
Valorie,Wood,48,Woman,4,Chef,False,False,Mixed,Deaf or serious hearing impairment,Hetrosexual
Patricia,Wamsley,38,Other,2,Salesperson,True,True,Unknown,Mental Health Condition,Hetrosexual
Charlie,Lee,21,Man,5,Programmer,True,True,Mixed,Long-standing illness or health condition,Hetrosexual
Timothy,Rossi,59,Man,7,Programmer,False,False,Mixed,Deaf or serious hearing impairment,Hetrosexual
Ashleigh,Bourgoin,44,Woman,10,Doctor,True,False,Other,Mental Health Condition,Hetrosexual
Teresa,Rivers,53,Other,4,Clerk,True,False,Unknown,Deaf or serious hearing impairment,Bisexual
Betty,Shamblin,36,Woman,12,Chef,False,True,Mixed,Deaf or serious hearing impairment,Hetrosexual
Cecile,Gonzalez,24,Woman,7,Engineer,True,True,Other,Physical impairment or mobility issues,Bisexual
David,Mishar,20,Man,2,Nurse,True,False,Asian,Physical impairment or mobility issues,Bisexual
Vera,White,22,Other,5,Salesperson,True,True,Mixed,Deaf or serious hearing impairment,Other
Ora,Gonzalez,52,Woman,6,Teacher,True,False,Mixed,Mental Health Condition,Other
Maryanne,Hulsey,65,Other,3,Artist,True,True,Black,Deaf or serious hearing impairment,Bisexual
Devin,Eury,20,Man,7,Programmer,False,True,Mixed,Mental Health Condition,Bisexual
Randy,Edwards,52,Man,12,Nurse,True,True,Unknown,Physical impairment or mobility issues,Hetrosexual
Anne,Ziebarth,18,Woman,8,Teacher,True,False,Asian,Long-standing illness or health condition,Gay
Aleshia,Bowlin,46,Other,6,Salesperson,True,True,Unknown,Deaf or serious hearing impairment,Other
Michael,Hernandez,43,Man,2,Programmer,False,True,Asian,Specific Learning Difficulty,Other
